parameter_name,prior_mean,prior_sigma,proposal_sigma_1,proposal_sigma_2,gaussian_mix_fraction
a1,0,0.3,0.15,1.5,0.9
a3,0.25,0.3,0.15,1.5,0.9
a4,0.058,0.3,0.15,1.5,0.9
a80,0.272,0.3,0.15,1.5,0.9
ag1,51.77,0.3,0.15,1.5,0.9
ag3,2.045,0.3,0.15,1.5,0.9
ag4,0.011,0.3,0.15,1.5,0.9
ag80,0.735,0.3,0.15,1.5,0.9
d,0.0077,0.1,0.05,0.5,0.9
kf3,70.3,0.3,0.15,1.5,0.9
kf83,41.1,0.3,0.15,1.5,0.9
kf84,95.2,0.3,0.15,1.5,0.9
kfR,56.2,0.3,0.15,1.5,0.9
KG1,41.6,0.3,0.15,1.5,0.9
KG3,32.2,0.3,0.15,1.5,0.9
KG80,14,0.3,0.15,1.5,0.9
KR1,67.4,0.3,0.15,1.5,0.9
KR3,18.8,0.3,0.15,1.5,0.9
KR4,33.8,0.3,0.15,1.5,0.9
kglu,4350,0.3,0.15,1.5,0.9
kgal,4350,0.3,0.15,1.5,0.9
KMglu,7.50E+05,0.3,0.15,1.5,0.9
KMgal,3.00E+06,0.3,0.15,1.5,0.9
n1,3,0.1,0.05,0.5,0.9
n3,2,0.1,0.05,0.5,0.9
n80,2,0.1,0.05,0.5,0.9
nR1,2,0.1,0.05,0.5,0.9
nR3,2,0.1,0.05,0.5,0.9
nR4,1,0.1,0.05,0.5,0.9